post_id,post_text
1,#ride08312024 RIDE!! Oakland to Palo Alto 12:00 PM
2,#ride11302025 Need a ride Sac-Fremont. Budget $12-22
3,#ride06032024 RIDE!! San Jose ➜ Sacramento 3:30 PM 18 dollars pm me
4,#drive08252025 #drive09012025 Need a drive Sacramento -> San Jose. Budget $30-40
5,#drive01232024 #drive01252024 Need a driev Palo Alto ➜ Berkeley. Budget $12
6,#drive05222024  Oakland  to  San  Jose  |  8:50  AM  |  $25-33  |  1  seat
7,Need a drive Sacramento to Fremont. Budget $40
8,#ride08192025 RIDE!! Davis ➜ Oakland 2:30 PM $40-50
9,#drive03222025 DRIVE!! Sunnyvale to Sacramento 8:45 PM $18
10,#ride07092024 #ride07122024 Need a ride Palo Alto to Oakland. Budget $18
11,#drive12232024 Berkeley to Sac $12 leaving 8:10 AM
12,#drive11052025 Palo Alto-Berkeley | 6PM |  | 1s eat
13,#ride10142025 Oakland to Davis | 1:20P M | $12 | 1 seat
14,#drive08242024 Need a drive San Jose -> Sac. Budget
15,#drive10042024 Berkeley-Sunnyvale | 6PM |  | 1 seat
16,Berkeley to Palo Alto $15 leaving 4:45 PM
17,#drive11142025  DRIVE!!  Fremont-San  rFancisco  12PM  $25
18,#drive01142024 Need a drive Fremont to San Jose. Budget $25
19,#drive09292025  Berkeley  ->  Sunnyvale  $30-38  leaving  7:15  PM  pls
20,#drive03102025  Need  a  drive  Davis-Oakland.  Budget  $15-23  🚗
21,#drive08272025 DRIVE!! San Jose -> Sunnyvale 10PM $25 pls
22,#drive06162024 Need a drive Sunnyvale ➜ Palo Alto. Budget
23,#drive02132024  Need  a  drive  from  San  Francisco  t  oPalo  Alto.  Budget  $35  😊
24,#ride08122025 RIDE!! San Jose to Sunnyvale 10AM
25,"#drive06092024 Sacramento -> Fremont | 2:00 PM | $22 | 1 seat !!
comment below"
26,#ride11262025 Sacramento ➜ Fremont $15 leaving 2PM 😊
27,#drive04102025 SJ ➜ Davis | 6:50 PM | $22 | 1 seat thx
28,#ride01292024 Davis -> Sacramento $20 leaving 5:10 PM 😊
29,#drive11172024 #drive11202024 DRIVE!! Oakland-Davis 6PM $18-23
30,#drive05052025 Need a drive San Francisco -> Fremont. Budget $18
31,#dirve07102024  DRIVE!!  San  Francisco  to  Fremont  1:15  PM  $25-33
32,#drive12262024 Berkeley -> Oakland | 9AM | $15 | 1 seat
33,#ride08132025 from Fremontt o Oakland $22 leaving 8:20 PM
34,#ride07072025 Palo Alto-San Jose | 1PM | $10 | 1 seat pls
35,#drive08012025 Sacramento to San Francisco $22 leaving 10PM pls
36,#ride08252024 San Francisco ➜ Berkeley | 10:10 PM | $25-30 | 1 seat !!
37,#drive04262025  #drive04272025  DRIVE!!  Fremont  ->  Palo  Alto  7:40  AM  $22
38,from  San  Jose  to  Berkeley  $30  leaving  6AM
39,#ride04022025 Need a ride Berkeley -> San Francisco. Budget $35
40,#ride07042025 from Sunnyvale to Oakland | 2:30 PM | 22 dollars | 1 seat
41,#ride05212025 #ride05282025 Oakland ➜ SF $12-20 leaving 5PM
42,#ride06052024 RIDE!! from Palo Alto to Fremont 9:15 AM $18 pls
43,#drive11262024  Sunnyvale  ➜  San  Francisco  $20  leaving  7:20  PM
44,"#drive12142024 #drive12172024 San Francisco to Fremont  leaving 4:10 PM
anyone?"
45,#ride05022025 Fremont ➜ Oakland | 6AM | $22 | 1 seat
46,#drive02282024 from San Francisco to San Jose  leaving 2:50 PM thx
47,#ride12012024  Sunnyvale  to  Fremont  |  11AM  |  $15  |  1  seat
48,#drive08232024 DRIVE!! Oakland-Palo Alto 8AM
49,#drive01162024D RIVE!! Sunnyvale -> San Jose 6AM $10
50,#drive07132024 Oakland ➜ San Jose $12 leaving 10:45 PM
51,#drive03212025 SF ➜ Sunnyvale | 5:50 PM | $18 | 1 seat
52,#drive04012024  Davis  ->  Sunnyvale  $10  leaving  11AM
53,#drive04082024 DRIVE!! Oakland-San Jose 10:30 AM $18
54,"#drive12072025 Davis ➜ Sunnyvale $15-20 leaving 1:000 AM
flexible time"
55,#drive09022025 from Fremont to Sacramento | 9PM | 30 dollars | 1 seat
56,#ride10052024 Need a ride Sacramento ➜ Oakland. Budget $35
57,#drive04022024 Fremont to Berkeley | 4:50 PM | $30 | 1 seat pls
58,#drive04262024 Palo Alto ➜ San Jose | 3PM | 40 dollars | 1 seat
59,#ride09232025 Berkeley to Palo Alto $22 leaving 8:40 AM
60,#ride06272024 from San Jose to Fremont | 2:15 PM | $10 | 1 seat 🚗
61,"#drive01152024 #drive01222024 Need a drive San Francisco -> Sunnyvale. Budget 40 dollars thx
pm me"
62,#drive09132024 #drive09202024 DRIVE!! Sunnyvale-San Jose 12PM $15
63,#ride02092024 Need a ride Sacramento -> Palo Alto. Budget $10
64,"#drive06232024 Sac -> Sunnyvale $15 leaving 1:00 PM
flexible time"
65,#drive02012025  San  Francisco-Sunnyvale  |  3PM  |  $12  |  1  seat
66,#ride11192025 RIDE!! Sacramento ➜ San Francisco 9AM $12-22
67,#drive10192024 Need a drive from Sunnyvale to Davis. Budget $25
68,#ride01282024 Sacramento -> Oakland $10 leaving 9:40 PM pls
69,DRIVE!! from Sacramento to San Francisco 1PM $18
70,#ride01052025 RIDE!! Fremont-Berkeley 9AM $10-18
71,#ride03152025 Need a ride Sunnyvale to San Francisco. Budget
72,#ride10222024  RIDE!!  SF  to  San  Jose  10:10  PM
73,#drive02282024 Sacramento ➜ Berkeley $20 leaving 7AM
74,#drive03292025 from Davis to Berkeley $22-30 leaving 7PM !!
75,Berkeley ➜ Davis | 10AM | $10 | 1 seat
76,#drive01112024 DRIVE!! Oakland ➜ Davis 7:15 PM $40-50
77,#ride02072025 Need a ride Oakland -> Davis. Budget $20
