post_id,post_text
1,Davis to Fremont | 2PM | $40 | 1 seat pls
2,Need a drive aSn Francisco ➜ Palo Alto. Budget $10
3,#drive09102025 DRIVE!! San Jose to Berkeley 9AM 22 dollars
4,#drive04022025 DRIVE!! Davis -> San Jose 7:45 AM thx
5,#ride08122025 from San Jose to Fremont $18-28 leaving 8:50 AM
6,#ride02262025 Davis -> San Francisco $12 leaving 9AM pls
7,#ride05212024 Sunnyvale-Davis | 10PM | | 1 seat
8,#ride02952025 from Oakland to SF $30 leaving 4PM
9,#ride12202025 from Fremont to SJ | 6:50 AM | $35 | 1 seat
10,#ride07062025 Need a ride Davis-Berkeley. Budget $40 pls
11,#ride05192025 Fremont to Oakland | 6:50 AM | 40 dollars | 1 seat
12,#drive05092024 from SF to Palo Alto $22 leaving 6AM 🚗
13,#ride09282025 Need a ride Palo Alto -> Oakland. Budget
14,#ride08152025  Need  a  ride  Berkeley-Oakland.  Budget
15,#ride12042024 Sunnyvale-Davis $25 leaving 10AM
16,#drive11292025 Oakland -> Berkeley | 7:30 PM | $12 | 1 seat thx anyone?
17,#drive11082024 DRIVE!! Palo Alto  ➜San Francisco 11:45 AM $40-48
18,#ride03312024  Oakland  to  Berkeley  $18  leaving  9:10  AM  😊
19,#ride04042024 Need a ride Sunnyvale -> Fremont. Budget $22
20,#drive02192024 Davis -> Oakland $35 leaving 10PM
21,#drive11282025 DRIVE!! from Berkeley to Palo Alto 2:50 PM $12 thx
22,#ride02032024 Fremont to San Jose $15 leaving 10AM
23,"DRIVE!! San Francisco-Palo Alto 4PM $30-40 😊
pm me"
24,#drive11032024  DRIVE!!  from  SJ  to  Oakland  7AM  $35
25,#drive10312025 DRIVE!! from Palo Alto to Sacramento 6MP 😊
26,"#ride04222024 Oakland to Berkeley $30 leaving 5PM thx
pm me"
27,#drive02122025 DRIVE!! Davis -> Oakland 6:10 AM $20
28,San Francisco ➜ Sacramento $12 leaving 2PM
29,"#ride05062024 Need a ride Fremont-Davis. Budget $12
flexible time"
30,#ride07042025 Oakland-Sacramento $40 leaving 9:15 PM pls
31,#drive08082025 DRIVE!! Davis to San Jose 4PM $15
32,#drive02022024 from Berkeley to Davis $25 leaving 10:30 AM
33,#ride04222024  from  Sacramento  to  Palo  Alto  $22  leaving  10:50  AM
34,#ride09172204  RIDE!!  Sac-Palo  Alto  6:10  PM  $30  😊
35,#drive03302024 #drive04062024 Sunnyvale-San Jose $20-25 leaving 10:50 PM 🚗
36,#drive07242024 #drive07262024 Need a drive from Palo Alto to Sunnyvale. Budget $25
37,San Jose ➜ Palo Alto | 9:00 PM |  | 1 seat
38,#ride03102024  Oakland  ->  Sunnyvale  |  8:20  PM  |  $40  |  1  seat
39,#drive08022024 Sunnyvale-Palo Alto | 6PM | $10-15 | 1 seat 😊
40,#ride12072025 #ride12082025 Need a ride Fremont-Berkeley. Budget
41,#drive02072025 DRIVE!! Oakland -> San Jose 4:15 PM $15
42,Sacramento to San Francisco | 7:00 AM | $15-25 | 1 seat pls
43,Need a drive from Palo Alto to Berkeley. Budget $10
44,#ride02132024 Sacramento ➜ San Francisco $20 leaving 12PM
45,#ride09032024 Need a ride Plao Alto -> Oakland. Budget $22
46,#drive09242025 Davis ➜ San Jose  elaving 5:45 PM
47,RIDE!! Sunnyvale -> Berkeley 4:15 PM $35
48,#ride10292024 RIDE!! Palo Alto-San Jose 12PM $12
49,San Francisco-Oakland | 8:45 AM |  | 1 seat pls
50,#ride10052025 San Francisco-aSn Jose $12-22 leaving 8:20 PM
51,#drive01092024  Oakland-Berkeley  |  9:20  PM  |  $40  |  1  seat  pls
52,#ride06092024 San Francisco -> San Jose  leaving 1PM pls
53,from Sac to Fremont | 9:20 AM | $10 | 1 seat
54,#ride06142024 Fremont -> San Francisco | 4PM | $30 | 1 seat
55,"#ride02252025  RIDE!!  Davis-Berkeley  3PM  $35  😊
flexible  time"
56,#drive07032025 Sunnyvale ➜ Oakland | 8PM | $20-30 | 1 seat
57,#drive04042025 SF to Sacramento $15 leaving 11:15 AM
58,#drive03062025 #drive03092025 DRIVE!! San Francisco ➜ Sacramento 4:00 PM $18-26 thx
59,#drive08292024 Palo Alto ➜ Berkeley | 1:00 PM | 18 dollars | 1 seat
60,#drive02282024  DRIVE!!  Palo  Alto  ➜  San  Francisco  4:45  PM  $30
61,#drive12282025  DRIVE!!  from  Davis  to  Freomnt  12PM  $40
62,#ride10232025 Need a ridef rom Palo Alto to Davis. Budget $35 pls
63,#ride07192024 Davis-Sunnyvale $25-30 leaving 10PM
64,#drive08012025  San  Francisco-Sacramento  |  11AM  |  $25  |  1  seat  pls
65,#ride02242024 Need a ride from Berkeley to San Jose. Budget $35
66,#ride12302025 RIDE!! Sacramento to Berkeley 8AM $25 !!
67,#drive03132025 Need a drive Davis-Palo Alto. Budget $10-18
68,"#drive10272024 Need a drive Oakland -> Sunnyvale. Budget
pm me"
69,#drive10112025 Need a drive Davis ➜ Fremont. Budget $12
70,"#ride02092025 RIDE!! Oakland to Davis 9PM $15
anyone?"
71,#drive12252025 Berkeley-Sacramento | 5PM | | 1 seat
72,"#drive10102024 Davis to Oakladn | 2PM |  | 1 seat
flexible time"
